Time (s),Pressure (MilliBar)
12.6350,809.5700
12.6600,809.5800
12.6860,809.4200
12.7120,809.3900
12.7380,809.2900
12.7640,809.1600
12.8150,809.1200
12.8400,808.9700
12.8670,808.8900
12.8930,808.8000
12.9180,808.6500
12.9440,808.6000
12.9690,808.5300
12.9960,808.4800
13.0220,808.3800
13.0470,808.3700
13.0730,808.2700
13.0990,808.2100
13.1250,808.0800
13.1510,808.0100
13.1760,807.9300
13.2270,807.8700
13.2540,807.8200
13.2800,807.6800
13.3050,807.5600
13.3310,807.4700
13.3560,807.4000
13.3830,807.4000
13.4090,807.3600
13.4340,807.2800
13.4600,807.1500
13.4860,807.0900
13.5120,807.0500
13.5380,806.9600
13.5630,806.8900
13.5890,806.8900
13.6410,806.7700
13.6670,806.7400
13.6920,806.5400
13.7180,806.5300
13.7440,806.4600
13.7700,806.3600
13.7960,806.4200
13.8210,806.2900
13.8470,806.2500
13.8730,806.2000
13.8990,806.1400
13.9250,806.0700
13.9500,806.0100
13.9760,805.9800
14.0020,805.9600
14.0540,805.8800
14.0790,805.7900
14.1050,805.7100
14.1310,805.6500
14.1570,805.6000
14.1830,805.5600
14.2080,805.5300
14.2340,805.4400
14.2600,805.4400
14.2860,805.4000
14.3120,805.3200
14.3370,805.2400
14.3630,805.2400
14.3890,805.1900
14.4150,805.1400
14.4670,805.1500
14.4920,805.0800
14.5180,805.0000
14.5430,804.9600
14.5700,804.8900
14.5960,804.8700
14.6210,804.8200
14.6470,804.7900
14.6730,804.7300
14.6990,804.7400
14.7250,804.6700
14.7500,804.6100
14.7760,804.5300
14.8020,804.5300
14.8280,804.4800
14.8790,804.4800
14.9050,804.4500
14.9300,804.4200
14.9570,804.4100
14.9830,804.3300
15.0080,804.3200
15.0340,804.2600
15.0590,804.2800
15.0860,804.2200
15.1120,804.2100
15.1370,804.1200
15.1630,804.1100
15.1890,804.0900
15.2150,804.1000
15.2410,804.0200
15.2920,804.0800
15.3170,804.0200
15.3440,803.8900
15.3700,803.9600
15.3950,803.9100
15.4210,803.9400
15.4460,803.8600
15.4730,803.8400
15.4990,803.9100
15.5240,803.8300
15.5500,803.8300
15.5760,803.7400
15.6020,803.7800
15.6280,803.7100
15.6530,803.7500
15.7050,803.6900
15.7300,803.6700
15.7570,803.7000
15.7820,803.6800
15.8080,803.7000
15.8340,803.6400
15.8590,803.6000
15.8860,803.6600
15.9110,803.6200
15.9370,803.6200
15.9630,803.5900
15.9890,803.5500
16.0150,803.5900
16.0400,803.6000
16.0660,803.5900
16.1170,803.5900
16.1440,803.5300
16.1690,803.5500
16.1950,803.6000
16.2210,803.5400
16.2460,803.5900
16.2730,803.5900
16.2980,803.5900
16.3240,803.6000
16.3500,803.5200
16.3750,803.5700
16.4020,803.6000
16.4270,803.5800
16.4530,803.5900
16.4790,803.5600
16.5300,803.5600
16.5560,803.5200
16.5820,803.5400
16.6080,803.5800
16.6330,803.5700
16.6600,803.6200
16.6860,803.6600
16.7110,803.6400
16.7370,803.7100
16.7620,803.6300
16.7890,803.7000
16.8150,803.7100
16.8400,803.6900
16.8660,803.7500
16.8910,803.7200
16.9440,803.7600
16.9690,803.7800
16.9950,803.7800
17.0200,803.8000
17.0470,803.8000
17.0730,803.8200
17.0980,803.8300
17.1240,803.8500
17.1490,803.9200
17.1760,803.9200
17.2020,803.9300
17.2270,803.9400
17.2530,803.9700
17.2780,811.1300
17.3050,803.9200
17.3560,803.7700
17.3820,803.6800
17.4070,803.7100
17.4330,803.6400
17.4600,803.7300
17.4850,803.8500
17.5110,803.8100
17.5360,803.9400
17.5620,803.9600
17.5890,804.0000
17.6140,803.9900
17.6400,804.1600
17.6650,804.2100
17.6910,804.2300
17.7180,804.2100
17.7690,804.2800
17.7950,804.3600
17.8200,804.7300
17.8470,804.5800
17.8720,804.3000
17.8980,803.8400
17.9240,803.3900
17.9490,803.5800
17.9760,803.7700
18.0010,803.7000
18.0270,803.6600
18.0530,803.8300
18.0780,804.3100
18.1050,804.4400
18.1300,804.5900
18.1820,804.5900
18.2070,804.7900
18.2330,804.4500
18.2580,804.4400
18.2850,804.6000
18.3110,804.2500
18.3360,803.8700
18.3620,804.1600
18.3880,803.2000
18.4140,802.7000
18.4400,802.3800
18.4650,802.9400
18.4910,803.5700
