Time (s),AccelX (g),AccelY (g),AccelZ (g)
10.3120,63.9980,63.9980,63.9980
10.3380,127.9121,0.2480,0.0195
10.3630,127.9141,0.2559,127.9590
10.3900,127.9004,0.2461,127.8262
10.4160,127.9023,0.2422,127.8633
10.4410,127.9082,0.2422,127.8965
10.4670,127.9121,0.2402,127.8711
10.4930,127.9062,0.2461,127.9219
10.5190,127.8906,0.2246,127.9746
10.5450,127.9180,0.2324,127.9414
10.5700,127.9297,0.2188,127.9277
10.5960,127.9473,0.2070,127.9219
10.6220,127.9219,0.2129,127.9824
10.6480,127.9512,0.2031,0.1309
10.6740,127.9023,0.2246,0.1035
10.6990,127.9062,0.2480,0.0488
10.7250,63.9980,63.9980,63.9980
10.7500,127.9570,0.2070,0.0098
10.7770,127.9668,0.1914,127.9375
10.8030,127.9121,0.2012,127.8477
10.8280,127.9258,0.2188,127.7598
10.8540,127.9355,0.2207,127.7559
10.8800,127.9180,0.2168,127.8125
10.9060,127.9277,0.1738,127.9668
10.9320,127.9355,0.1562,127.9355
10.9570,127.9238,0.1582,127.9141
10.9830,127.9219,0.1855,127.9258
11.0090,127.9414,0.2207,127.9062
11.0350,127.9141,0.2070,127.9023
11.0610,127.8887,0.2031,127.9375
11.0860,127.8984,0.2031,127.9570
11.1120,127.9453,0.2109,127.9512
11.1370,63.9980,63.9980,63.9980
11.1640,127.9297,0.2148,127.9727
11.1900,127.9434,0.2168,127.9531
11.2150,127.9551,0.2188,127.9648
11.2410,127.9727,0.2070,0.0332
11.2680,127.9883,0.1914,0.0117
11.2930,127.9727,0.1562,127.9727
11.3190,127.9355,0.1680,127.9785
11.3440,127.9238,0.1855,127.9512
11.3700,127.9355,0.2051,127.9922
11.3970,127.9473,0.1992,127.9375
11.4220,127.9297,0.1992,127.9102
11.4480,127.8984,0.1875,127.9141
11.4730,127.8711,0.1680,127.9023
11.4990,127.8984,0.1738,127.9316
11.5260,127.9121,0.1758,127.9219
11.5510,63.9980,63.9980,63.9980
11.5770,127.9043,0.1836,127.9199
11.6020,127.9023,0.1953,127.9316
11.6280,127.9531,0.1934,127.9883
11.6540,127.9590,0.1621,127.9961
11.6800,127.9551,0.1680,127.9902
11.7060,127.9414,0.1699,127.9844
11.7310,127.9121,0.1621,127.9453
11.7570,127.9297,0.1777,127.9414
11.7840,127.9473,0.1680,127.9453
11.8090,127.9336,0.1699,127.9258
11.8350,127.9316,0.1992,127.9180
11.8600,127.8965,0.1641,127.9297
11.8860,127.9062,0.1504,127.9199
11.9130,127.9141,0.1660,127.8711
11.9380,127.8945,0.1699,127.8770
11.9640,63.9980,63.9980,63.9980
11.9890,127.8887,0.1680,127.8711
12.0150,127.9023,0.1758,127.8867
12.0410,127.9297,0.1543,127.9082
12.0670,127.9219,0.1523,127.9141
12.0930,127.9121,0.1562,127.9121
